model,name,protocol,checkpoint,revision,scored,generated,generation_failures,generation_failure_rate,wer,cer,rtf,latency_p50_s,latency_p95_s,peak_vram_mib,mer,wil,wip,exact_match_rate
kokoro,Kokoro,Original provider configuration,hexgrad/Kokoro-82M,cbc78411372edb46f7e42030b241834a55fe0cb6,1088,,,,0.009629071422590639,0.0024400404689638756,0.018666759712283744,0.08802692033350468,0.10426744297146796,478.27685546875,0.00962423633776885,0.01742962890275368,0.9825703710972463,0.9136029411764706
supertonic,Supertonic,Original provider configuration,Supertone/supertonic-3,3cadd1ee6394adea1bd021217a0e650ede09a323,1088,,,,0.009796533534287867,0.002663214902100815,0.06423751407986668,0.2797527089715004,0.3004460956901312,419.396484375,0.009789156626506024,0.017839658400852665,0.9821603415991473,0.9099264705882353
omnivoice,OmniVoice,Original provider configuration,k2-fsa/OmniVoice,c5fdb5ccb189668d56333f77ba2629f4cd7535f4,1088,,,,0.009880264590136481,0.002648336606558353,0.328981732833577,1.332394178956747,1.5358351096510887,3228.8759765625,0.009874476987447698,0.0173500167374373,0.9826499832625627,0.9154411764705882
speecht5,SpeechT5,Original provider configuration,microsoft/speecht5_tts,30fcde30f19b87502b8435427b5f5068e401d5f6,1088,,,,0.010131457757682325,0.0029459025174076057,0.1622327560700419,0.6036052946001291,0.9177474867552518,726.37158203125,0.010123828647925033,0.01858563704868821,0.9814143629513118,0.90625
f5tts,F5TTS,Original provider configuration,F5TTS_v1_Base,,1088,,,,0.010550113036925395,0.0031988335416294708,0.7815442867831554,2.7469177208840847,2.9705387711524964,1516.4052734375,0.010543933054393306,0.018842870213572005,0.981157129786428,0.9090073529411765
styletts2,StyleTTS2,Original provider configuration,artifacts/styletts2/epochs_2nd_00020.pth,,1088,,,,0.010885037260319853,0.0029905374040349935,0.04208604152148397,0.19795850105583668,0.2473351741209626,1068.0185546875,0.010876840696117804,0.019831987068541723,0.9801680129314583,0.9044117647058824
echo,EchoTTS,Original provider configuration,jordand/echo-tts-base,06731f67000241d55cff6b0a961f22f5f151f24f,1088,,,,0.01121996148371431,0.0034815211569362613,0.5723286716880129,2.456841016188264,2.5182850835844874,9363.14453125,0.011207761793241887,0.020324327635941386,0.9796756723640586,0.9034926470588235
fishtts,FishTTS,Original provider configuration,fishaudio/s2-pro,1de9996b6be38b745688de084d87a5633f714e4e,1088,,,,0.011471154651260152,0.0031690769505445457,3.7434938590228506,14.975895503535867,21.895659835077815,14652.67431640625,0.011463475859760689,0.020912083738239273,0.9790879162617607,0.8970588235294118
xtts,XTTS,Original provider configuration,artifacts/xtts2,,1088,,,,0.011722347818805995,0.003927870023210141,0.37659089175029953,1.377348417416215,2.1737355709075925,2044.58837890625,0.011700793982448809,0.020155170204901096,0.9798448297950989,0.8979779411764706
zonos2,Zonos2,Original provider configuration,Zyphra/ZONOS2,65f1e80f94b599d474bb6af9094a803dc52f60bd,1088,,,,0.01180607887465461,0.004210557638516931,6.227715330972293,21.817871015518904,32.1434196209535,15765.91650390625,0.01179817588486319,0.020508167521017695,0.9794918324789823,0.9034926470588235
chatterbox,Chatterbox,Original provider configuration,ResembleAI/chatterbox,5bb1f6ee58e50c3b8d408bc82a6d3740c2db6e18,1088,,,,0.012308465209746294,0.0035261560435636496,0.8215815223732541,2.598566422238946,3.5963106857612717,3243.5419921875,0.012300225922516944,0.022405080632642016,0.977594919367358,0.8851102941176471
mosstts,MossTTS,Original provider configuration,OpenMOSS-Team/MOSS-TTS-v1.5,cdd3b911b1585e3f2dbc7775ef10f9926f58850a,1088,,,,0.012308465209746294,0.00431470570731417,1.389709319705265,7.407788587734103,10.18555185869335,25009.28662109375,0.012298167823977245,0.021827881301883956,0.978172118698116,0.9080882352941176
outetts,OuteTTS,Original provider configuration,OuteAI/Llama-OuteTTS-1.0-1B,f445d0d301c7fc9e47fd545eb9f9d2912afe7a77,1088,,,,0.012392196265594908,0.00437421888948402,3.164612982009557,14.944048950448632,20.17052680440247,4373.70263671875,0.012376651613982272,0.0210828903062108,0.9789171096937892,0.8933823529411765
vibevoice,VibeVoice,Original provider configuration,microsoft/VibeVoice-Realtime-0.5B,6bce5f06044837fe6d2c5d7a71a84f0416bd57e4,1088,,,,0.013145775768232438,0.004151044456347081,0.6212332774264896,2.793820545077324,4.0911998309195035,2034.2626953125,0.013129285833751463,0.023229322079901915,0.9767706779200981,0.8823529411764706
qwen3tts,Qwen3TTS,Original provider configuration,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,0c0e3051f131929182e2c023b9537f8b1c68adfe,1088,,,,0.013815624215021352,0.0043890971850264835,1.7696765178685818,8.603621456772089,13.723505410738287,4351.36962890625,0.013802911159444537,0.02513313514949267,0.9748668648505073,0.8832720588235294
neutts,NeuTTS,Original provider configuration,neuphonic/neutts-2e,412aaab11c6b727c6c0fe2552db305c234e568da,1088,,,,0.014736665829356108,0.006204249241206927,1.7043660177076607,6.949139470234513,9.845434662140903,3476.28369140625,0.014692378328741965,0.02428765130115995,0.97571234869884,0.8887867647058824
cosyvoice,CosyVoice 3 · 0.5B · 2512,Original provider configuration,artifacts/cosyvoice3,,1088,,,,0.017416059616511763,0.0062340058322918526,0.7025528225695982,2.636332143098116,3.7965015506371853,3429.84326171875,0.017391304347826087,0.031161646058276316,0.9688383539417237,0.8547794117647058
higgstts,HiggsTTS,Original provider configuration,bosonai/higgs-tts-2-3b-base,d80c511612b3040ff2877ce3d408747df1739f11,1088,,,,0.017416059616511763,0.006710111289650658,1.171588010392337,4.582375276833773,7.186718510463833,11947.0888671875,0.01738113144480655,0.02976327841893811,0.9702367215810619,0.859375
